ingestion-service-1  | INFO:     Started server process [1]
ingestion-service-1  | INFO:     Waiting for application startup.
ingestion-service-1  | 2026-02-01 08:46:45 [info     ] ingestion_service_starting     cors_origins=['http://localhost:3000', 'http://127.0.0.1:3000', 'http://localhost:8080']
ingestion-service-1  | INFO:     Application startup complete.
ingestion-service-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
ingestion-service-1  | INFO:     140.82.114.6:63383 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:58668 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:65451 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:65451 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:65451 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:50986 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:28188 - "OPTIONS /ingest/url HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:47:03 [warning  ] redis_not_available            message='Install redis for distributed rate limiting'
ingestion-service-1  | 2026-02-01 08:47:03 [warning  ] invalid_api_key                key_prefix=adminadmin path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:28188 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     127.0.0.1:55194 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:17807 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:17807 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:47:15 [warning  ] invalid_api_key                key_prefix=adminadmin path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:17807 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     140.82.114.6:17807 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:55332 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:27253 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:27253 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:47:24 [warning  ] invalid_api_key                key_prefix=adminadmin path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:27253 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     140.82.114.6:27253 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:39712 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:48668 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25878 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25878 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25878 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:25878 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:49754 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:37587 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:37587 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:37587 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:33318 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:48:04 [warning  ] invalid_api_key                key_prefix=adminadmin path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:31914 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     127.0.0.1:44142 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:53069 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:53069 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:53069 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:53069 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:49026 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:57425 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:57425 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:57425 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:44424 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:48:37 [warning  ] invalid_api_key                key_prefix=adminadmin path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:58755 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     127.0.0.1:38814 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:42685 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:42685 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:42685 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:42685 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:42432 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:35713 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:35713 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:35713 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:40224 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:35713 - "OPTIONS /ingest/url HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:49:02 [warning  ] missing_api_key                path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:35713 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     127.0.0.1:47480 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:18938 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:18938 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:18938 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:18938 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:55386 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48465 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48465 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48465 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:49842 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:38548 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:43064 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:43064 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:43064 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:43064 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:42644 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:19833 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:19833 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:19833 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:60542 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:54354 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:17649 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:17649 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:17649 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:17649 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:41858 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62911 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62911 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:62911 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:43500 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:48139 - "OPTIONS /ingest/url HTTP/1.1" 200 OK
ingestion-service-1  | 2026-02-01 08:50:36 [warning  ] invalid_api_key                key_prefix=adminadmin path=/ingest/url
ingestion-service-1  | INFO:     140.82.114.6:48139 - "POST /ingest/url HTTP/1.1" 401 Unauthorized
ingestion-service-1  | INFO:     127.0.0.1:51356 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     140.82.114.6:16937 - "GET /health HTTP/1.1" 200 OK
ingestion-service-1  | INFO:     127.0.0.1:35910 - "GET /health HTTP/1.1" 200 OK
